OrderNo,OrderDate,MaterialNo,MaterialDesc,WorkCenter,PlannedQty,ConfirmedQty,ScrapQty,PlannedHours,ActualHours,Status
900021,2026-09-07,MAT-1001,Steel Bracket A,WC-300,100,86,14,9.75,11.63,CNF
900022,2026-06-28,MAT-1005,Gearbox Assembly,WC-210,300,288,12,35.7,44.61,CNF
900023,2026-08-06,MAT-1003,Motor Housing,WC-210,200,173,27,14.49,16.2,CNF
900024,2026-06-29,MAT-1002,Steel Bracket B,WC-300,50,43,7,5.66,6.11,TECO
900025,2026-08-05,MAT-1003,Motor Housing,WC-100,100,89,11,9.85,11.71,TECO
900026,2026-07-31,MAT-1005,Gearbox Assembly,WC-300,100,96,4,13.07,13.94,CNF
900027,2026-07-25,MAT-1004,Control Panel,WC-200,200,184,16,24.58,30.37,TECO
900028,2026-07-22,MAT-1001,Steel Bracket A,WC-100,150,145,5,9.14,9.75,CNF
900029,2026-06-24,MAT-1002,Steel Bracket B,WC-210,150,137,13,20.62,21.16,TECO
900030,2026-06-07,MAT-1005,Gearbox Assembly,WC-100,300,292,8,44.07,58.36,TECO
900031,2026-08-02,MAT-1002,Steel Bracket B,WC-210,200,176,24,18.02,18.39,CNF
900032,2026-09-09,MAT-1004,Control Panel,WC-200,200,178,22,23.93,30.05,TECO
900033,2026-06-25,MAT-1004,Control Panel,WC-110,150,132,18,8.38,10.54,CNF
900034,2026-06-07,MAT-1003,Motor Housing,WC-100,300,276,24,42.58,50.5,CNF
900035,2026-09-17,MAT-1005,Gearbox Assembly,WC-100,100,86,14,5.68,7.39,CNF
900036,2026-08-14,MAT-1005,Gearbox Assembly,WC-110,300,256,44,17.46,21.48,CNF
900037,2026-06-27,MAT-1003,Motor Housing,WC-200,150,132,18,13.44,16.6,CNF
900038,2026-06-02,MAT-1003,Motor Housing,WC-100,200,188,12,21.26,22.0,CNF
900039,2026-06-17,MAT-1005,Gearbox Assembly,WC-200,150,147,3,20.69,23.37,CNF
900040,2026-07-09,MAT-1005,Gearbox Assembly,WC-400,300,299,1,39.21,46.47,REL
900041,2026-08-24,MAT-1005,Gearbox Assembly,WC-200,50,49,1,3.17,3.3,CNF
900042,2026-07-05,MAT-1005,Gearbox Assembly,WC-110,150,141,9,18.26,19.56,REL
900043,2026-08-02,MAT-1003,Motor Housing,WC-300,150,147,3,20.19,20.84,CNF
900044,2026-06-01,MAT-1003,Motor Housing,WC-100,150,144,6,17.06,18.62,TECO
900045,2026-07-25,MAT-1005,Gearbox Assembly,WC-400,300,255,45,17.26,22.59,TECO
900046,2026-09-15,MAT-1005,Gearbox Assembly,WC-100,150,140,10,9.72,10.15,CNF
900047,2026-06-27,MAT-1001,Steel Bracket A,WC-200,100,95,5,8.54,10.21,TECO
900048,2026-06-20,MAT-1005,Gearbox Assembly,WC-400,100,97,3,14.76,18.95,TECO
900049,2026-09-03,MAT-1001,Steel Bracket A,WC-110,150,145,5,13.68,16.89,TECO
900050,2026-06-21,MAT-1002,Steel Bracket B,WC-200,50,45,5,2.69,3.13,CNF
900051,2026-07-10,MAT-1004,Control Panel,WC-200,100,88,12,11.6,13.22,CNF
900052,2026-07-15,MAT-1001,Steel Bracket A,WC-200,300,272,28,44.43,52.77,TECO
900053,2026-06-23,MAT-1001,Steel Bracket A,WC-200,300,298,2,22.96,23.83,CNF
900054,2026-08-17,MAT-1003,Motor Housing,WC-210,300,260,40,41.99,44.78,CNF
900055,2026-08-06,MAT-1004,Control Panel,WC-100,300,285,15,43.21,54.36,CNF
900056,2026-08-25,MAT-1004,Control Panel,WC-100,150,141,9,17.45,18.21,TECO
900057,2026-08-25,MAT-1005,Gearbox Assembly,WC-200,200,179,21,23.94,28.59,CNF
900058,2026-09-04,MAT-1004,Control Panel,WC-400,100,94,6,8.01,9.55,CNF
900059,2026-07-26,MAT-1003,Motor Housing,WC-110,300,282,18,24.67,28.48,REL
900060,2026-09-10,MAT-1005,Gearbox Assembly,WC-210,100,94,6,7.84,9.66,REL
900061,2026-08-26,MAT-1001,Steel Bracket A,WC-110,150,132,18,10.49,10.58,CNF
900062,2026-09-17,MAT-1004,Control Panel,WC-300,50,45,5,6.93,8.33,TECO
900063,2026-07-22,MAT-1004,Control Panel,WC-210,100,87,13,11.88,15.59,TECO
900064,2026-06-29,MAT-1001,Steel Bracket A,WC-210,100,97,3,11.96,13.9,CNF
900065,2026-06-18,MAT-1001,Steel Bracket A,WC-210,200,190,10,29.76,35.96,TECO
900066,2026-09-13,MAT-1004,Control Panel,WC-300,300,274,26,42.21,48.8,CNF
900067,2026-07-04,MAT-1004,Control Panel,WC-210,100,97,3,7.77,9.88,CNF
900068,2026-07-27,MAT-1002,Steel Bracket B,WC-200,50,47,3,3.67,4.1,TECO
900069,2026-06-20,MAT-1001,Steel Bracket A,WC-110,100,90,10,6.53,7.02,CNF
900070,2026-07-30,MAT-1003,Motor Housing,WC-300,200,171,29,26.66,30.29,TECO
900071,2026-07-19,MAT-1001,Steel Bracket A,WC-300,200,170,30,17.04,21.53,TECO
900072,2026-09-04,MAT-1004,Control Panel,WC-300,300,290,10,41.93,49.1,CNF
900073,2026-07-20,MAT-1004,Control Panel,WC-100,150,142,8,19.47,24.4,TECO
900074,2026-08-08,MAT-1002,Steel Bracket B,WC-300,50,49,1,5.46,6.73,CNF
900075,2026-09-19,MAT-1004,Control Panel,WC-110,200,175,25,15.2,16.94,CNF
900076,2026-07-06,MAT-1003,Motor Housing,WC-210,200,177,23,11.64,11.72,CNF
900077,2026-08-23,MAT-1003,Motor Housing,WC-110,50,48,2,5.76,7.28,TECO
900078,2026-08-19,MAT-1002,Steel Bracket B,WC-100,100,88,12,9.74,10.13,TECO
900079,2026-07-03,MAT-1004,Control Panel,WC-400,150,131,19,16.61,20.96,CNF
900080,2026-06-14,MAT-1002,Steel Bracket B,WC-200,300,256,44,24.36,30.14,TECO
900081,2026-06-26,MAT-1004,Control Panel,WC-400,50,46,4,6.65,7.22,REL
900082,2026-08-16,MAT-1003,Motor Housing,WC-400,50,48,2,5.33,5.41,CNF
900083,2026-08-04,MAT-1003,Motor Housing,WC-100,150,127,23,13.8,16.17,CNF
900084,2026-09-15,MAT-1003,Motor Housing,WC-400,200,191,9,18.71,23.52,TECO
900085,2026-09-12,MAT-1003,Motor Housing,WC-300,300,289,11,28.95,37.32,CNF
900086,2026-09-15,MAT-1003,Motor Housing,WC-110,50,44,6,4.75,6.0,CNF
900087,2026-06-04,MAT-1004,Control Panel,WC-200,200,195,5,13.64,14.65,TECO
900088,2026-08-16,MAT-1003,Motor Housing,WC-200,150,140,10,15.25,16.27,CNF
900089,2026-08-11,MAT-1004,Control Panel,WC-210,100,95,5,11.46,13.43,TECO
900090,2026-06-29,MAT-1001,Steel Bracket A,WC-200,200,190,10,16.12,19.4,CNF
900091,2026-07-25,MAT-1005,Gearbox Assembly,WC-200,300,269,31,36.09,39.51,CNF
900092,2026-06-25,MAT-1001,Steel Bracket A,WC-400,150,130,20,15.54,19.69,CNF
900093,2026-08-01,MAT-1002,Steel Bracket B,WC-400,150,143,7,22.15,26.22,CNF
900094,2026-07-08,MAT-1001,Steel Bracket A,WC-110,100,90,10,8.02,10.01,CNF
900095,2026-08-10,MAT-1001,Steel Bracket A,WC-100,150,143,7,9.39,12.24,CNF
900096,2026-07-07,MAT-1001,Steel Bracket A,WC-300,200,184,16,16.81,22.49,CNF
900097,2026-09-14,MAT-1004,Control Panel,WC-100,50,45,5,2.87,3.5,CNF
900098,2026-07-09,MAT-1002,Steel Bracket B,WC-300,50,49,1,3.09,3.92,REL
900099,2026-09-08,MAT-1005,Gearbox Assembly,WC-110,300,272,28,42.26,46.66,CNF
900100,2026-08-12,MAT-1004,Control Panel,WC-200,300,257,43,43.8,45.32,TECO
900101,2026-08-24,MAT-1002,Steel Bracket B,WC-200,50,43,7,3.37,3.46,CNF
900102,2026-08-16,MAT-1004,Control Panel,WC-400,200,178,22,14.63,18.25,TECO
900103,2026-08-27,MAT-1004,Control Panel,WC-100,100,98,2,12.88,15.7,REL
900104,2026-06-15,MAT-1002,Steel Bracket B,WC-210,300,265,35,19.47,21.28,CNF
900105,2026-09-10,MAT-1001,Steel Bracket A,WC-110,150,140,10,19.86,26.26,CNF
900106,2026-07-09,MAT-1004,Control Panel,WC-400,200,198,2,20.01,23.47,CNF
900107,2026-09-03,MAT-1001,Steel Bracket A,WC-210,150,141,9,7.89,8.52,REL
900108,2026-06-03,MAT-1005,Gearbox Assembly,WC-300,150,140,10,18.95,20.11,CNF
900109,2026-06-24,MAT-1004,Control Panel,WC-200,300,274,26,39.43,52.8,CNF
900110,2026-07-12,MAT-1004,Control Panel,WC-200,50,48,2,4.15,5.16,CNF
900111,2026-06-05,MAT-1004,Control Panel,WC-300,200,172,28,15.05,15.66,TECO
900112,2026-08-24,MAT-1005,Gearbox Assembly,WC-100,300,275,25,16.63,19.65,REL
900113,2026-07-27,MAT-1004,Control Panel,WC-400,50,44,6,5.25,6.95,CNF
900114,2026-06-04,MAT-1004,Control Panel,WC-100,300,290,10,36.29,40.24,CNF
900115,2026-06-29,MAT-1004,Control Panel,WC-100,50,45,5,3.09,3.99,CNF
900116,2026-08-30,MAT-1003,Motor Housing,WC-300,150,136,14,14.74,17.18,CNF
900117,2026-06-25,MAT-1002,Steel Bracket B,WC-210,300,277,23,41.38,53.89,CNF
900118,2026-09-09,MAT-1004,Control Panel,WC-200,300,267,33,15.08,18.91,TECO
900119,2026-08-02,MAT-1005,Gearbox Assembly,WC-400,100,91,9,9.84,10.98,TECO
900120,2026-07-12,MAT-1004,Control Panel,WC-210,100,99,1,7.39,8.38,TECO
900121,2026-07-11,MAT-1004,Control Panel,WC-100,200,191,9,26.23,29.77,REL
900122,2026-06-05,MAT-1002,Steel Bracket B,WC-210,100,92,8,10.9,14.22,TECO
900123,2026-08-07,MAT-1004,Control Panel,WC-100,200,170,30,12.88,16.81,TECO
900124,2026-09-09,MAT-1001,Steel Bracket A,WC-210,150,135,15,17.89,21.96,TECO
900125,2026-07-11,MAT-1005,Gearbox Assembly,WC-210,200,196,4,10.72,10.98,REL
900126,2026-09-04,MAT-1003,Motor Housing,WC-110,50,45,5,2.99,3.65,TECO
900127,2026-08-28,MAT-1004,Control Panel,WC-110,150,147,3,8.19,10.47,CNF
900128,2026-06-19,MAT-1003,Motor Housing,WC-210,100,92,8,10.66,13.62,CNF
900129,2026-07-19,MAT-1001,Steel Bracket A,WC-300,300,285,15,29.93,36.04,CNF
900130,2026-07-03,MAT-1003,Motor Housing,WC-210,50,49,1,4.83,5.32,CNF
900131,2026-07-15,MAT-1001,Steel Bracket A,WC-210,300,268,32,43.86,54.46,CNF
900132,2026-07-20,MAT-1003,Motor Housing,WC-110,200,173,27,17.63,19.84,CNF
900133,2026-09-15,MAT-1003,Motor Housing,WC-100,200,178,22,21.32,26.44,TECO
900134,2026-09-04,MAT-1001,Steel Bracket A,WC-300,200,194,6,28.06,35.68,CNF
900135,2026-08-21,MAT-1003,Motor Housing,WC-110,100,94,6,11.78,14.75,REL
900136,2026-06-13,MAT-1002,Steel Bracket B,WC-400,50,44,6,4.7,5.65,TECO
900137,2026-07-12,MAT-1001,Steel Bracket A,WC-200,200,175,25,12.64,15.03,TECO
900138,2026-07-05,MAT-1005,Gearbox Assembly,WC-300,100,88,12,13.25,15.48,TECO
900139,2026-07-30,MAT-1003,Motor Housing,WC-100,50,43,7,7.33,9.54,TECO
900140,2026-07-17,MAT-1004,Control Panel,WC-300,50,48,2,2.57,3.05,CNF
900141,2026-07-19,MAT-1003,Motor Housing,WC-300,150,129,21,11.01,11.11,TECO
900142,2026-08-18,MAT-1005,Gearbox Assembly,WC-200,100,94,6,11.35,13.19,TECO
900143,2026-06-18,MAT-1004,Control Panel,WC-100,50,49,1,4.02,4.71,CNF
900144,2026-07-20,MAT-1005,Gearbox Assembly,WC-110,200,181,19,28.99,36.06,CNF
900145,2026-09-02,MAT-1005,Gearbox Assembly,WC-400,100,98,2,11.55,14.92,REL
900146,2026-08-28,MAT-1003,Motor Housing,WC-100,150,132,18,14.17,15.34,CNF
900147,2026-08-22,MAT-1003,Motor Housing,WC-300,150,128,22,11.64,15.58,TECO
900148,2026-08-24,MAT-1004,Control Panel,WC-100,100,94,6,10.97,11.05,TECO
900149,2026-09-09,MAT-1002,Steel Bracket B,WC-110,300,264,36,39.89,47.63,CNF
900150,2026-09-08,MAT-1002,Steel Bracket B,WC-200,100,96,4,10.96,12.02,TECO
900151,2026-07-03,MAT-1002,Steel Bracket B,WC-300,100,86,14,13.66,14.29,CNF
900152,2026-07-12,MAT-1002,Steel Bracket B,WC-300,50,43,7,2.76,3.48,CNF
900153,2026-07-28,MAT-1001,Steel Bracket A,WC-210,150,139,11,9.14,10.75,TECO
900154,2026-09-09,MAT-1001,Steel Bracket A,WC-400,300,268,32,34.3,34.67,TECO
900155,2026-08-27,MAT-1004,Control Panel,WC-210,50,46,4,7.05,7.23,CNF
900156,2026-06-09,MAT-1005,Gearbox Assembly,WC-110,100,89,11,11.33,13.5,CNF
900157,2026-07-08,MAT-1005,Gearbox Assembly,WC-300,200,185,15,18.6,23.76,CNF
900158,2026-09-19,MAT-1005,Gearbox Assembly,WC-400,100,91,9,13.88,15.89,TECO
900159,2026-09-02,MAT-1004,Control Panel,WC-210,50,44,6,4.06,4.42,TECO
900160,2026-06-12,MAT-1004,Control Panel,WC-100,50,43,7,2.98,3.75,TECO
900161,2026-08-15,MAT-1005,Gearbox Assembly,WC-100,300,280,20,35.1,40.15,TECO
900162,2026-06-07,MAT-1004,Control Panel,WC-400,150,141,9,12.77,15.35,CNF
900163,2026-09-17,MAT-1004,Control Panel,WC-110,50,45,5,5.28,5.49,CNF
900164,2026-09-17,MAT-1002,Steel Bracket B,WC-210,300,298,2,39.55,48.04,REL
900165,2026-08-24,MAT-1001,Steel Bracket A,WC-300,150,128,22,11.6,14.7,TECO
900166,2026-06-24,MAT-1003,Motor Housing,WC-100,100,93,7,9.01,9.46,REL
900167,2026-09-04,MAT-1001,Steel Bracket A,WC-100,300,264,36,27.59,30.88,CNF
900168,2026-08-16,MAT-1003,Motor Housing,WC-300,50,49,1,3.28,4.15,CNF
900169,2026-07-27,MAT-1001,Steel Bracket A,WC-200,200,184,16,18.84,20.64,TECO
900170,2026-07-26,MAT-1001,Steel Bracket A,WC-200,50,44,6,5.89,6.89,REL
900171,2026-07-21,MAT-1001,Steel Bracket A,WC-110,300,257,43,21.13,28.12,TECO
900172,2026-07-12,MAT-1003,Motor Housing,WC-200,50,42,8,6.24,6.62,CNF
900173,2026-08-11,MAT-1002,Steel Bracket B,WC-300,150,129,21,20.43,20.73,CNF
900174,2026-08-13,MAT-1001,Steel Bracket A,WC-200,200,187,13,24.19,27.73,CNF
900175,2026-06-22,MAT-1001,Steel Bracket A,WC-200,300,275,25,35.69,40.21,CNF
900176,2026-07-26,MAT-1001,Steel Bracket A,WC-110,300,273,27,17.36,22.65,TECO
900177,2026-09-08,MAT-1002,Steel Bracket B,WC-200,100,86,14,11.33,13.43,CNF
900178,2026-09-02,MAT-1003,Motor Housing,WC-200,100,88,12,6.46,6.91,REL
900179,2026-09-07,MAT-1001,Steel Bracket A,WC-110,200,183,17,21.27,25.58,REL
900180,2026-08-21,MAT-1005,Gearbox Assembly,WC-400,300,269,31,44.13,49.01,CNF
