EventID,OrderNo,WorkCenter,EventTimestamp,Reason,DurationMin
5129,900124,WC-210,2026-09-09 14:00,Material shortage,88.0
5130,900037,WC-200,2026-06-27 10:00,Scheduled maintenance,83.0
5131,900089,WC-210,2026-08-11 12:00,Material shortage,185.0
5132,900132,WC-110,2026-07-20 17:00,Machine breakdown,83.0
5133,900120,WC-210,2026-07-12 03:00,Changeover / setup,113.0
5134,900037,WC-200,2026-06-27 03:00,Machine breakdown,77.0
5135,900099,WC-110,2026-09-08 19:00,Operator unavailable,67.0
5136,900041,WC-200,2026-08-24 10:00,Quality hold,176.0
5137,900049,WC-110,2026-09-03 05:00,Operator unavailable,239.0
5138,900120,WC-210,2026-07-12 15:00,Changeover / setup,124.0
5139,900024,WC-300,2026-06-29 12:00,Quality hold,115.0
5140,900062,WC-300,2026-09-17 06:00,Quality hold,91.0
